committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,"PRESTIGE PRINTING, LLC",TX,LITERATURE (ESTIMATE),2022-04-11T00:00:00Z,316.28,S,"CISNEROS, JESSICA",H,DEM
"GREENPEACE, INC.",2022,ARIZONA JET-MAIL SERVICES,AZ,NA,2022-04-27T00:00:00Z,268.91,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,1003.77,S,"CISNEROS, JESSICA",H,DEM
"GREENPEACE, INC.",2022,ARIZONA JET-MAIL SERVICES,AZ,NA,2022-05-02T00:00:00Z,608.59,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR PHONE BANKING,2022-01-27T00:00:00Z,3694.73,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-02-26T00:00:00Z,5000,S,"DE LA CRUZ, MONICA",H,NA
CONGRESSIONAL LEADERSHIP FUND,2022,ADVANTAGE INC.,FL,PHONE CALLS,2022-02-18T00:00:00Z,15000,S,"DE LA CRUZ, MONICA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,999.62,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR CANVASSING (2/2 THROUGH 2/8),2022-02-02T00:00:00Z,42774.45,S,"CISNEROS, JESSICA",H,DEM
"GREENPEACE, INC.",2022,"GREENPEACE, INC.",DC,NA,2022-04-23T00:00:00Z,14.43,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.11,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,IHEARTMEDIA + ENTERTAINMENT,TX,NON-CONTRIBUTION ACCOUNT: ADVERTISEMENT - RADIO,2022-02-10T00:00:00Z,5000,S,"CISNEROS, JESSICA",H,DEM
"OPPORTUNITY MATTERS FUND, INC.",2022,"MOUNTAINTOP ADVISORS, LLC",DC,PRODUCTION COST: TV AD,2022-07-27T00:00:00Z,8500,S,"DE LA CRUZ, MONICA",H,REP
END CITIZENS UNITED,2022,"POTOMAC WAVES, LLC",DC,MEDIA PRODUCTION,2022-05-11T00:00:00Z,2500,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LYFT,CA,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,70.79,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,TRILOGY INTERACTIVE LLC,CA,DIGITAL AD PRODUCTION,2022-04-29T00:00:00Z,6000,O,"CUELLAR, HENRY",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,DIGITAL AD PRODUCTION,2022-07-13T00:00:00Z,700,S,"DE LA CRUZ, MONICA",H,REP
MIJENTE PAC,2022,RIALTO HOTEL LLC,TX,NON-CONTRIBUTION ACCOUNT: HOTEL,2022-02-25T00:00:00Z,1956.24,S,"CISNEROS, JESSICA",H,DEM
A STRONGER TEXAS FUND,2022,NEW FRONTIER GRAPHICS AND ILLUSTRATION,TX,WEBSITE,2022-02-18T00:00:00Z,350,S,"WHITTEN, SANDRA",H,NA
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,DIGITAL AD PRODUCTION,2022-04-29T00:00:00Z,2000,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-17T00:00:00Z,8006.5,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,TEXAS TOOLBELT,TX,IN PERSON CANVASSING,2022-05-10T00:00:00Z,121000,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-02-23T00:00:00Z,18018.03,S,"CISNEROS, JESSICA",H,DEM
VOTE NURSES VALUES POLITICAL ACTION COMMITTEE: CALIFORNIA NURSES ASSOCIATION,2022,POSTAL SYSTEMS INC,CA,POSTAGE AND PROCESSING,2022-04-29T00:00:00Z,25987.25,S,"CISNEROS, JESSICA",H,DEM
"GREENPEACE, INC.",2022,"GREENPEACE, INC.",DC,NA,2022-05-06T00:00:00Z,14.43,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,BRUSHFIRE LLC,DC,GOTV PHONE CALLS,2022-05-16T00:00:00Z,35294.93,S,"CUELLAR, HENRY",H,DEM
HOUSE MAJORITY PAC,2022,"PESCADOR PUBLIC STRATEGIES, LLC",TX,MEDIA PRODUCTION - ESTIMATE,2022-06-07T00:00:00Z,10145,O,"FLORES, MAYRA",H,REP
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,18.5,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,ENTERPRISE RENT-A-CAR,MO,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,561.7,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,OURSO BEYCHOK INC,LA,DIRECT MAIL,2022-04-29T00:00:00Z,59320,O,"CISNEROS, JESSICA",H,NA
ELBERT GUILLORY'S AMERICA,2022,UNIVISION,TX,MEDIA PLACEMENT,2022-02-16T00:00:00Z,1995,S,"DE LA CRUZ, MONICA",H,REP
MIJENTE PAC,2022,AMERICAN AIRLINES,TX,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,607.2,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-05T00:00:00Z,15630.2,S,"CISNEROS, JESSICA",H,DEM
